title,author,price,isbn,cover_image_url,description,publication_year
Babel,R. F Kuang,423000,9780063021426,https://cdn1.fahasa.com/media/catalog/product/a/1/a1lv97-jjol._sl1500_1.jpg,,2022
B1 Preliminary 1 For The Revised 2020 Exam Student's Book With Answers With Audio With Resource Bank: Authentic Practice Tests (PET Practice Tests),CAMBRIDGE UNIVERSITY PRESS,234650,9781108919159,https://cdn1.fahasa.com/media/catalog/product/9/7/9781108919159.jpg,,2019
The Alchemist 25th Anniversary: A Fable About Following Your Dream,Paulo Coelho,243000,9780062355300,https://cdn1.fahasa.com/media/catalog/product/i/m/image_129754.jpg,,2014
English Vocabulary in Use: Elementary Book with Answers Fahasa Reprint Edition: Vocabulary Reference and Practice (CD-ROM),Michael McCarthy,127000,9781108430432,https://cdn1.fahasa.com/media/catalog/product/i/m/img_7566.jpg,"The world's best-selling grammar series for learners of English. English Grammar in Use Fourth edition is an updated version of the world's best-selling grammar title. It has a fresh, appealing new design and clear layout, with revised and updated examples, but retains all the key features of clarity and accessibility that have made the book popular with millions of learners and teachers around the world. This 'with answers' version is ideal for self-study. An online version, book without answers, and book with answers and CD-ROM are available separately.",2017
Complete IELTS B1 Student's Book with answer with CD-ROM,Mark Harrison,265000,9781107665774,https://cdn1.fahasa.com/media/catalog/product/9/7/9781107665774b.jpg,,2012
Empower Pre-Intermediate & B1 Student's Book With Digital Pack - 2nd Edition,"Adrian Doff, Craig Thaine, Herbert Puchta, Jeff Stranks, Peter Lewis-Jones, Graham Burton",437000,9781009410748,https://cdn1.fahasa.com/media/catalog/product/9/7/9781009410748bia.jpg,The Pre-intermediate Student's Book with Digital Pack gives learners an immediate sense of purpose and clear learning objectives.,
English Grammar In Use With Answer And Interactive E-book,Raymond Murphy,356000,9781009826464,https://cdn1.fahasa.com/media/catalog/product/9/7/9781009826464.jpg,,2025
Complete IELTS B2 Workbook with answer & Audio CD,Mark Harrison,104000,9781107675452,https://cdn1.fahasa.com/media/catalog/product/i/m/image_195509_1_22276.jpg,,2012
Oxford Picture Dictionary Third Edition: English - Vietnamese Edition,Oxford,390000,9780194505321,https://cdn1.fahasa.com/media/catalog/product/i/m/image_193948.jpg,"Illustrations present over 4,000 English words and phrases within meaningful, real-life contexts 11 new and expanded topics including Job Search, Career Planning, and Digital Literacy prepare students to meet the requirements of their daily lives Updated activities prepare students for work, academic study, and citizenship Oxford 3000™ vocabulary ensures students learn the most useful and important words",2016
The Official Cambridge Guide To IELTS Student's Book With Answers,Cambridge English,421000,9781009672368,https://cdn1.fahasa.com/media/catalog/product/9/7/9781009672368.jpg,,2025
Complete IELTS B2 Student's Book with answer & CD-Rom,Mark Harrison,265000,9781107695962,https://cdn1.fahasa.com/media/catalog/product/i/m/image_195509_1_22278.jpg,,2012
English Grammar in Use Book w Ans,Raymond Murphy,188000,9781108430425,https://cdn1.fahasa.com/media/catalog/product/9/7/9781108430425.jpg,"The world's best-selling grammar series for learners of English. English Grammar in Use Fourth edition is an updated version of the world's best-selling grammar title. It has a fresh, appealing new design and clear layout, with revised and updated examples, but retains all the key features of clarity and accessibility that have made the book popular with millions of learners and teachers around the world. This 'with answers' version is ideal for self-study.",2017
Essential Grammar in Use Book with Answers Fahasa Reprint Edition: A Self-Study Reference and Practice Book for Elementary Learners of English,Raymond Murphy,169000,9781108430494,https://cdn1.fahasa.com/media/catalog/product/i/m/img_7479.jpg,"Essential Grammar in Use is a self-study reference and practice book for elementary-level learners (A1-B1), used by millions of people around the world. With clear examples, easy-to-follow exercises and answer key, the Fourth edition is perfect for independent study, covering all the areas of grammar that you will need at this level. The book has an easy-to-use format of two-page units with clear explanations of grammar points on the left-hand page, and practice exercises on the right. It also includes plenty of additional exercises and a Study Guide to help you find the grammar units you need to study.",2017
